crimeID;offenderID
473;138
473;139
475;512
478;438
478;439
478;440
479;513
480;55
480;56
481;514
482;515
485;516
485;517
489;518
490;519
490;496
491;520
493;521
495;522
495;523
496;524
498;525
498;526
500;527
500;528
501;529
501;77
501;79
502;530
502;531
503;532
504;533
505;534
505;535
506;536
507;537
508;538
510;539
512;540
513;541
516;464
516;465
516;466
517;58
519;542
520;543
523;544
524;58
526;545
527;300
528;275
530;546
530;547
530;548
531;549
531;550
531;551
532;552
533;553
534;300
535;554
540;555
540;556
540;557
542;558
542;559
542;560
544;561
544;562
544;563
545;564
546;565
547;566
548;567
550;568
551;569
552;303
552;223
553;570
554;571
555;572
555;573
557;464
559;574
559;575
559;576
560;577
561;578
562;579
562;580
562;581
562;582
562;583
562;584
562;585
564;586
568;587
568;588
568;589
569;275
570;590
574;591
575;275
576;301
577;250
579;592
579;593
580;594
581;595
581;596
581;597
582;598
583;599
584;600
585;300
586;601
586;602
588;603
588;604
588;605
588;606
588;607
588;608
588;609
590;610
591;611
592;612
593;613
594;614
597;615
597;616
597;617
598;618
600;107
601;619
601;620
601;621
601;622
602;623
602;624
603;533
604;625
604;313
604;528
605;626
608;627
608;461
609;628
609;629
610;630
611;631
612;123
613;632
614;633
614;634
614;635
614;636
614;637
615;275
616;638
616;639
616;640
617;641
619;267
620;328
620;329
621;642
622;238
623;643
624;644
624;645
624;646
624;647
625;411
626;304
628;648
629;649
630;650
631;651
632;7
633;652
635;653
636;654
638;183
639;655
640;656
640;657
641;7
642;658
643;659
643;660
643;149
643;661
645;300
646;662
647;663
647;664
647;665
648;666
648;667
648;668
649;669
649;670
650;671
651;672
652;673
653;674
653;675
653;676
655;677
656;678
657;679
658;680
658;681
659;682
659;683
660;684
660;685
661;686
662;687
664;688
664;555
664;556
664;557
664;689
665;690
666;691
666;692
668;693
668;482
668;694
671;695
671;696
673;697
673;698
674;699
675;700
675;701
675;702
675;703
676;604
677;704
678;705
681;567
940;706
941;706
942;707
945;708
945;709
945;710
946;711
947;712
947;707
948;713
949;714
950;715
950;716
951;717
952;718
952;346
953;719
953;720
954;151
954;152
956;721
957;722
958;552
959;723
959;724
961;725
961;726
962;727
962;728
962;729
963;730
964;731
965;732
966;733
968;154
968;155
969;734
969;735
969;488
970;704
971;221
972;736
973;737
973;738
974;739
975;715
976;740
977;741
977;742
977;743
978;460
978;461
981;744
981;745
982;746
983;747
984;748
984;749
984;750
984;751
985;752
986;753
987;151
987;152
988;754
988;755
988;756
988;757
988;758
988;759
989;760
989;761
990;762
990;763
991;764
991;51
992;765
993;766
993;767
994;768
995;168
995;169
996;769
996;770
997;239
997;240
997;241
997;242
998;771
999;299
1000;443
1000;414
1001;772
1002;773
1002;774
1003;775
1004;524
1005;776
1006;777
1006;778
1006;779
1008;723
1009;780
1010;781
1012;782
1013;783
1014;784
1015;785
1017;786
1017;787
1018;788
1019;789
1020;790
1021;680
1021;681
1022;791
1026;792
1027;793
1027;794
1027;795
1029;42
1030;796
1030;37
1032;797
1033;798
1034;799
1036;86
1038;800
1038;801
1038;802
1040;803
1040;804
1040;805
1040;806
1041;807
1041;808
1041;809
1042;810
1043;316
1043;318
1045;811
1046;812
1047;813
1050;814
1051;815
1051;816
1055;817
1055;818
1055;819
1055;820
1055;821
1056;275
1058;822
1059;823
1060;824
1064;825
1066;826
1066;827
1067;828
1067;829
1068;830
1068;831
1069;832
1069;833
1069;834
1069;835
1069;836
1071;837
1072;838
1072;839
1073;840
1074;614
1075;841
1076;842
1077;843
1077;844
1078;845
1079;846
1079;847
1079;848
1080;849
1080;850
1080;851
1080;852
1080;853
1080;854
1081;529
1081;77
1081;79
1083;855
1084;183
1085;856
1086;857
1089;858
1090;859
1092;860
1094;687
1096;861
1097;862
1098;744
1099;863
1099;864
1101;313
1103;700
1103;701
1103;865
1104;702
1105;866
1106;867
1107;868
1107;869
1108;300
1109;870
1110;871
1111;872
1112;873
1112;874
1112;875
1113;876
1114;877
1114;878
1114;879
1116;880
1117;881
1118;882
1119;883
1122;884
1122;487
1124;282
1124;283
1125;885
1126;886
1127;887
1128;888
1129;889
1130;275
1131;275
1133;512
1135;890
1136;420
1136;891
1138;892
1139;893
1139;894
1140;895
1142;896
1145;897
1146;332
1146;333
1147;898
1148;882
1149;899
1149;900
1150;901
1151;902
1152;903
1153;904
1154;905
1154;906
1155;907
1155;908
1156;909
1156;910
1156;911
1156;912
1157;913
1158;524
1159;782
1159;914
1160;915
1162;916
1162;917
1163;918
1163;919
1164;308
1164;309
1166;920
1167;921
1167;922
1168;923
1169;924
1170;925
1170;926
1171;927
1172;928
1173;443
1173;414
1174;929
1175;250
1176;705
1177;930
1177;372
1177;931
1178;769
1178;770
1179;932
1180;933
1180;934
1180;935
1180;936
1180;937
1181;938
1182;939
1183;892
1184;940
1185;941
1186;942
1187;943
1187;944
1187;945
1188;946
1189;947
1190;948
1191;123
1193;949
1194;151
1194;152
1196;950
1198;951
1199;85
1200;952
1203;953
1203;954
1204;955
1205;956
1207;957
1208;958
1209;959
1209;960
1209;961
1209;962
1210;963
1211;964
1213;965
1213;966
1213;967
1213;968
1214;969
1215;970
1215;971
1216;972
1217;973
1218;974
1220;975
1221;976
1222;977
1223;119
1224;978
1224;979
1225;225
1226;980
1226;981
1226;982
1226;983
1226;984
1227;985
1228;986
1228;987
1229;64
1230;988
1231;989
1232;893
1232;894
1233;990
1233;872
1234;991
1235;992
1235;948
1236;993
1236;994
1236;995
1236;996
1237;997
1238;998
1239;151
1239;152
1240;999
1241;1000
1241;1001
1242;221
1243;1002
1245;1003
1245;1004
1246;1005
1247;1006
1248;14
1249;1007
1249;1008
1250;449
1251;1009
1255;1010
1255;1011
1257;1012
1257;1013
1258;1014
1260;1015
1260;1016
1260;1017
1261;1018
1262;1019
1263;266
1264;1020
1265;680
1265;681
1266;552
1267;493
1268;1021
1269;1022
1270;718
1271;1023
1272;1024
1272;1025
1274;101
1275;1026
1276;1027
1276;1028
1277;233
1277;234
1277;235
1278;1029
1279;1030
1279;1031
1279;1032
1279;1033
1279;1034
1282;1035
1283;1036
1283;1037
1284;1038
1286;781
1287;1039
1288;1040
1288;1041
1291;1042
1292;1043
1293;1044
1294;1045
1295;1046
1297;1047
1298;893
1298;894
1299;1048
1300;824
1301;680
1301;681
1302;930
1302;372
1302;931
1304;1049
1305;262
1306;37
1307;25
1308;1050
1308;1051
1309;1052
1310;1053
1311;1054
1311;1055
1311;1056
1312;1057
1314;1058
