offenderID;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22
12011;39.0;2.0;3.0;0.0;4.0;0.0;0.0;2.0;0.0;4.0;4.0;4.0;0.0;1.0;2.0;3.0;26.0;6.0;1.0;39.0;23.0;68763.0
1054;23.0;5.0;0.0;0.0;3.0;0.0;1.0;6.0;2.0;3.0;2.0;2.0;1.0;6.0;4.0;2.0;7.0;0.0;1.0;23.0;19.0;2328.2
14617;6.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;6.0;17.0;
790;41.0;1.0;0.0;0.0;1.0;0.0;0.0;5.0;13.0;5.0;2.0;5.0;0.0;18.0;0.0;2.0;6.0;0.0;0.0;41.0;21.0;16238.0
1007;20.0;3.0;1.0;0.0;0.0;0.0;2.0;9.0;1.0;0.0;3.0;1.0;0.0;3.0;1.0;2.0;11.0;1.0;2.0;20.0;16.0;34756.7
13571;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;48.0;1725.7
7909;26.0;1.0;0.0;0.0;1.0;0.0;8.0;5.0;3.0;5.0;8.0;1.0;0.0;2.0;0.0;3.0;20.0;0.0;1.0;26.0;18.0;24261.7
16125;65.0;2.0;9.0;1.0;10.0;0.0;1.0;1.0;0.0;3.0;6.0;11.0;0.0;6.0;10.0;7.0;19.0;16.0;6.0;65.0;20.0;46222.0
3135;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;2.0;6.0;41.0;27128.2
14131;12.0;2.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;12.0;17.0;16098.1
17260;15.0;5.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;2.0;1.0;0.0;5.0;0.0;2.0;2.0;1.0;0.0;15.0;18.0;14983.0
14066;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;3.0;21.0;39772.4
239;57.0;4.0;1.0;0.0;0.0;0.0;0.0;35.0;11.0;2.0;2.0;0.0;3.0;11.0;4.0;0.0;0.0;0.0;1.0;57.0;22.0;12066.9
16789;27.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;25.0;0.0;0.0;27.0;18.0;27505.1
16847;31.0;2.0;1.0;0.0;2.0;0.0;1.0;7.0;2.0;2.0;4.0;9.0;0.0;4.0;1.0;6.0;10.0;1.0;1.0;31.0;15.0;31147.2
6846;51.0;2.0;0.0;0.0;0.0;0.0;0.0;12.0;30.0;2.0;1.0;0.0;0.0;2.0;21.0;0.0;26.0;0.0;0.0;51.0;19.0;11022.3
14242;12.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;12.0;17.0;5479.8
172;41.0;2.0;0.0;0.0;0.0;0.0;0.0;18.0;7.0;12.0;5.0;4.0;0.0;5.0;0.0;0.0;25.0;0.0;0.0;41.0;18.0;22855.7
11734;10.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;2.0;0.0;1.0;0.0;2.0;8.0;0.0;0.0;10.0;18.0;38572.8
779;10.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;10.0;18.0;32377.3
459;16.0;1.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;1.0;0.0;0.0;7.0;0.0;1.0;10.0;1.0;1.0;16.0;19.0;16378.4
11015;8.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;8.0;18.0;
9662;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;27.0;4715.0
13723;19.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;19.0;17.0;70128.4
15561;9.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;3.0;0.0;3.0;0.0;3.0;9.0;0.0;0.0;9.0;19.0;67975.4
17121;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;5.0;24.0;46770.3
8641;42.0;2.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;3.0;3.0;1.0;1.0;3.0;2.0;30.0;6.0;0.0;42.0;17.0;31443.0
2088;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;10.0;18.0;70568.9
8126;18.0;5.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;13.0;0.0;0.0;18.0;22.0;37162.3
4465;52.0;1.0;0.0;0.0;2.0;0.0;0.0;2.0;2.0;4.0;0.0;3.0;3.0;4.0;0.0;3.0;48.0;0.0;0.0;52.0;18.0;47910.0
7756;5.0;1.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;5.0;22.0;
2290;11.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;1.0;9.0;0.0;0.0;11.0;19.0;23223.5
11592;91.0;1.0;1.0;0.0;12.0;0.0;6.0;1.0;5.0;5.0;5.0;13.0;0.0;3.0;3.0;2.0;66.0;5.0;6.0;91.0;17.0;17488.7
663;48.0;2.0;0.0;0.0;0.0;0.0;0.0;43.0;1.0;3.0;0.0;1.0;2.0;4.0;0.0;0.0;1.0;0.0;2.0;48.0;22.0;5395.0
10654;48.0;15.0;2.0;0.0;0.0;0.0;0.0;9.0;34.0;2.0;3.0;1.0;0.0;1.0;0.0;0.0;7.0;3.0;0.0;48.0;20.0;26139.9
11990;22.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;0.0;1.0;0.0;2.0;1.0;1.0;20.0;0.0;0.0;22.0;17.0;55909.6
1064;46.0;1.0;0.0;0.0;0.0;0.0;0.0;11.0;18.0;1.0;1.0;3.0;0.0;5.0;4.0;1.0;26.0;0.0;0.0;46.0;15.0;14473.7
8245;26.0;13.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;12.0;0.0;0.0;26.0;16.0;3388.8
14295;35.0;3.0;1.0;0.0;1.0;0.0;1.0;1.0;25.0;0.0;3.0;6.0;0.0;2.0;10.0;3.0;19.0;0.0;3.0;35.0;17.0;38696.1
8755;13.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;4.0;1.0;4.0;1.0;0.0;1.0;0.0;3.0;6.0;0.0;0.0;13.0;19.0;16647.1
12948;6.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;6.0;17.0;13509.9
9695;20.0;4.0;2.0;0.0;0.0;0.0;0.0;4.0;6.0;2.0;4.0;2.0;1.0;5.0;4.0;0.0;11.0;0.0;1.0;20.0;18.0;13830.8
17190;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;3.0;19.0;18893.3
9623;7.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;2.0;1.0;0.0;1.0;2.0;0.0;5.0;0.0;0.0;7.0;19.0;13209.0
6807;36.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;3.0;0.0;0.0;2.0;0.0;27.0;1.0;0.0;36.0;43.0;58040.0
16485;9.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;7.0;0.0;1.0;9.0;19.0;22340.8
15482;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;27.0;12403.3
14880;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;16.0;
12384;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;33.0;27050.9
